iteration,trainError,testError
0,0.13158342449103094,0.13121643500938235
1,0.1312214291611601,0.13120214651222065
2,0.12907486545745844,0.12913137678300005
3,0.12715842192936938,0.1271196555118247
4,0.1313990988501284,0.13141629404494912
5,0.1316231353206796,0.13179675827836448
6,0.13262442101519445,0.13262555376719737
7,0.12530714098207046,0.12529490139402075
8,0.1269128208754363,0.12711400015842186
9,0.1326042391589018,0.13262240827271468
10,0.12779441301119912,0.1281995951757173
11,0.12572041058671451,0.12573571528691266
12,0.12775937901717493,0.12815448958820286
13,0.12704465046191632,0.12695926994811102
14,0.13441001333143196,0.13459549649721958
15,0.12494642814734558,0.12489495711211229
16,0.1295630612099203,0.12986209012346533
17,0.12497704268080366,0.1249178242457317
18,0.12532767231115904,0.12531083640114335
19,0.1251012979341113,0.12514081399113272
20,0.12579926174681835,0.1256983065651715
21,0.1261624738371949,0.12643060837149217
22,0.12698115443290264,0.12725444955474072
23,0.13260248245406941,0.13261668773092805
24,0.12635246953979748,0.12641026949000086
25,0.12455349005963472,0.12448103201270252
26,0.1287554122833632,0.12832115976678427
27,0.1287554122833632,0.12832115976678427
28,0.1260033038702619,0.1260486125302003
29,0.12538133003069024,0.1257027305900238
30,0.1326024513554238,0.13261661354251564
31,0.12500082832635886,0.12487327921014749
32,0.1254320705719016,0.12550534805878671
33,0.12551887754364222,0.12552789308352902
34,0.12543438715699745,0.12550826481561245
35,0.12562461906967726,0.12581821118785136
36,0.12566188075497026,0.12585119194068292
37,0.13255009519677294,0.13255848718261223
38,0.12543091421897704,0.1255088978956053
39,0.12683870579229092,0.1267441016126187
40,0.12765816757302612,0.1274272717462114
41,0.12548592439774464,0.12547813558929843
42,0.12671734946431748,0.12661372217753128
43,0.12674767137572984,0.1266553281671391
44,0.1250957210967218,0.1251101927284392
45,0.1268637992918429,0.12676090699371392
46,0.12593078576866665,0.1263358403849174
47,0.12692307682174217,0.12747936058547882
48,0.1254183176056352,0.12549201599970877
49,0.12597225571855244,0.12618930947220586
50,0.12598184304602952,0.12621032293253506
51,0.12511778622913178,0.12525053015337737
52,0.12635429963784195,0.12630484122422758
53,0.12548857353297033,0.12548157152485082
54,0.12588343117349834,0.12602921826858635
55,0.12583279868699013,0.12613848049301726
56,0.12640044173090376,0.12667075443783465
57,0.12627592622148123,0.12620384606729412
58,0.12488151196798072,0.12481429969747461
59,0.1259271567028559,0.12622148545345302
60,0.12517157577409846,0.12513792239365418
61,0.1269080607247016,0.12694577872714863
62,0.12623100268125007,0.12614331352982716
63,0.12638611554362456,0.12636003510805563
64,0.12620464252056898,0.12592282975865035
65,0.12712978676848927,0.1269669453857856
66,0.1263629533056601,0.12668788589925628
67,0.12636882019705337,0.1266819004103845
68,0.12583710716075233,0.12598854312597207
69,0.12898586386969835,0.12911897495890987
70,0.12695236759925965,0.12688088474088013
71,0.12695285690010058,0.12688226737831568
72,0.1256467117877358,0.12576467397402177
73,0.12630120822656032,0.12604525011388876
74,0.1256569562685201,0.1257329629811167
75,0.1262875053854038,0.1262435469360346
76,0.12482236930544867,0.12461914736136938
77,0.12736560267662497,0.1273243819278121
78,0.1298304601552804,0.129886316992083
79,0.12482245510092263,0.1246192109565169
80,0.12582148372700555,0.12589591864375627
81,0.12673412489089658,0.12675694016181632
82,0.12693642145707695,0.1268487893817342
83,0.12534982998277153,0.12541990313029142
84,0.12678170100897035,0.12678394614390112
85,0.12544285768277533,0.12544906112196846
86,0.1270497064817778,0.127026329139527
87,0.1257539701549677,0.12581653125844022
88,0.1261525788243482,0.12612119688572848
89,0.12714631852104158,0.127109540754512
90,0.12675048439177203,0.12681156725896794
91,0.12614299152668532,0.12610958036388117
92,0.1259191043702611,0.1259587880701393
93,0.12583693118329753,0.12587286761472238
94,0.1263894619091172,0.12634020406541782
95,0.12664818443800302,0.1266112600747808
96,0.1263964219921159,0.12633134604167953
97,0.12694863512484877,0.12695053308037468
98,0.12649624060078607,0.12646813061004963
99,0.12659319000841013,0.12667690554850694
100,0.1268042242637894,0.12671900714569412
101,0.12525850511636083,0.12518875792613626
102,0.12655988529519718,0.12655424807642596
103,0.1255176397966827,0.12546524826447003
104,0.12657667106482143,0.12651692141757653
105,0.12526543771335133,0.12519397232853585
106,0.12663434157245612,0.12662390298234344
107,0.12628575215594465,0.1263195641666485
108,0.12636819015746623,0.12636299460638042
109,0.1269599671330299,0.12690661945793452
110,0.12560263319576714,0.12557760992444317
111,0.12508153357214527,0.12502860067824573
112,0.12666909582949135,0.12659177759253407
113,0.1264125983343845,0.12635242102371524
114,0.1251235847233047,0.12496447940145697
115,0.1259238957362428,0.12598243694382869
116,0.1265055280885164,0.12647997718926648
117,0.1259179191964952,0.12595114875614982
118,0.12575870147188156,0.1257472083591927
119,0.12519274908308517,0.1251412254492412
120,0.1264099521863637,0.12633399678502852
121,0.12620249860608032,0.1261095798367166
122,0.1263480826442923,0.12622558875025014
123,0.1270333096631862,0.12702810913130996
124,0.1269611909722713,0.12690331324479304
125,0.12659056791272005,0.12653414464906715
126,0.12639721910264512,0.1263303526510506
127,0.12548582190919524,0.1255191872580698
128,0.1269910927626418,0.12695866070548883
129,0.125490812807789,0.12549725157378966
130,0.1257913821878921,0.12577868203689496
131,0.12876069147034497,0.12865285160253473
132,0.12525976315768464,0.12522315158886002
133,0.12644706783332316,0.1263555083115712
134,0.12662700195061832,0.12656974964513829
135,0.12663923207625782,0.12659386674988538
136,0.12554019118633397,0.12549213380409174
137,0.1266018227561709,0.12655612200738828
138,0.12656776967584946,0.12651813245526022
139,0.12563308884857707,0.12558536996830083
140,0.12804726194605143,0.12798664346898125
141,0.12634417971675166,0.12627090902263388
142,0.1271189914509935,0.12708267789829422
143,0.12648013530873023,0.12645048731066397
144,0.1265970193429161,0.1265529461535486
145,0.1264324283573838,0.12643533102315668
146,0.12712516167997803,0.12707679480503534
147,0.12657671391321978,0.12653744019284868
148,0.1268005024783797,0.1267482722566656
149,0.12713031396288285,0.12708063720752838
150,0.12711699184261271,0.1270937956228945
151,0.12680075500142718,0.12675798602563215
152,0.12653685524966798,0.1265299850277159
153,0.1256032035581798,0.12557849720721656
154,0.1254309790078255,0.12531912816210578
155,0.12714016434048392,0.12713847338287715
156,0.12553230918312586,0.12543833046164096
157,0.12542235862517798,0.12534348841594564
158,0.13369828834016678,0.13364909085885368
159,0.12629772971872433,0.12628370110419915
160,0.12717979173483826,0.12715889526939841
161,0.12720131994209458,0.12718978359026847
162,0.12715286742209786,0.12709736291124935
163,0.1284342758463459,0.12834829274528547
164,0.12690939148673022,0.12684203938992067
165,0.1271469806251662,0.12709247866387124
166,0.1253900058849615,0.12527921954262097
167,0.12691411753386012,0.12690120850888184
168,0.1280184308109861,0.12799333032708707
169,0.12570770865717742,0.12567346237149193
170,0.1256225284455657,0.1255960565648519
171,0.12659479671182927,0.12654578123068777
172,0.1271490145655972,0.12709521763989903
173,0.12562737898898182,0.125584799105752
174,0.12564880589401262,0.1256259014806665
175,0.12554686445260138,0.12545705036285457
176,0.13392024021583201,0.13392350499556982
177,0.12523590078301097,0.12509437082587796
178,0.1255342493601647,0.12546871948169513
179,0.12694373282687438,0.12691061887716587
180,0.12561243487721757,0.1256410586771126
181,0.1269571857882795,0.12685560492520476
182,0.12561007656608314,0.12560355374849191
183,0.12633569287961,0.12631076210425723
184,0.128794615363736,0.1288049869060862
185,0.12880635828661857,0.12881710370224467
186,0.12691272334586323,0.12689206656978433
187,0.12666771079649738,0.126613428032716
188,0.12662534496043912,0.12663164172186567
