iteration,trainError,testError
0,0.12554222145031982,0.12566428873253427
1,0.12552166549577007,0.12564470823274237
2,0.12540421449127823,0.1254337752101189
3,0.1253687910619736,0.12543697376500507
4,0.12534364968259198,0.12540964115263709
5,0.12533922558336322,0.12539996780003987
6,0.12533922558336322,0.12539996780003987
7,0.12532115199162197,0.1253898621748949
8,0.12532099912333194,0.12539020829892192
9,0.12532099912333194,0.12539020829892192
10,0.12532099912333194,0.12539020829892192
11,0.1254545561190886,0.1255397476184095
12,0.1254614741491987,0.12554174544113006
13,0.1254614741491987,0.12554174544113006
14,0.12563975858523066,0.12570350433608396
15,0.12563680987324838,0.12570569751804744
16,0.12567671794840743,0.12574772888105049
17,0.12573201475500684,0.12579238607128126
18,0.1257395759931455,0.1258016033096749
19,0.12574709894771136,0.12581519140475944
20,0.12573951996321028,0.12580476650674446
21,0.12574694243038137,0.12580597435038912
22,0.1257629872816718,0.1258340251043542
23,0.1257619490636946,0.1258363174454335
24,0.12582824605109225,0.12592104949413457
25,0.12582824605109225,0.12592104949413457
26,0.1258009921519035,0.125879991294295
27,0.12576543548229704,0.12585954270067726
28,0.1257386499335637,0.12581469402753487
29,0.1257386499335637,0.12581469402753487
30,0.12574554780169284,0.12581945502458367
31,0.12574554780169284,0.12581945502458367
32,0.12572921578654653,0.12583246254213976
33,0.12572915502832085,0.1258327877425332
34,0.12571387520360114,0.12581483180498582
35,0.1257067269189723,0.12580675378403422
36,0.125721398584933,0.12582115876475738
37,0.125721398584933,0.12582115876475738
38,0.13390749590972295,0.1339565879093234
39,0.1339065584314509,0.13394729811219283
40,0.1339065584314509,0.13394729811219283
41,0.1339212852500675,0.13395558578178898
42,0.13393052498908525,0.1339792133864439
43,0.13400677082763743,0.13401149719113198
44,0.13399508800044305,0.13399684184175573
45,0.13399508800044305,0.13399684184175573
46,0.13399656148352956,0.13399540547504524
47,0.13399612702435815,0.1339948252110653
48,0.13399234906790902,0.13399807065191677
49,0.13399234906790902,0.13399807065191677
50,0.13395612718150643,0.13399139582146538
51,0.13395668557547014,0.13399320266864584
52,0.13400472936511162,0.1340825300537254
53,0.13393271237312634,0.13401540069898382
54,0.13391124372206054,0.13399945191377685
55,0.13391828614967072,0.13400381497716557
56,0.13391868737389206,0.1340041321858568
57,0.13388899929976153,0.13395340487681803
58,0.13388899929976153,0.13395340487681803
59,0.13388702540241035,0.13394131848368457
60,0.1337147526418681,0.13375840301081005
61,0.1337147526418681,0.13375840301081005
62,0.133728304588125,0.13376110137447417
63,0.13371287264446366,0.13375625776721473
64,0.13373162042975684,0.1337704520087435
65,0.13371287264446366,0.13375625776721473
66,0.13371373517611207,0.13376139100825996
67,0.13372373264587573,0.13376338404987012
68,0.13371287264446366,0.13375625776721473
69,0.13371506139831327,0.13376078068692498
70,0.13371287264446366,0.13375625776721473
71,0.13357465368839613,0.1335791965779233
72,0.13358856338809452,0.13360984848205018
73,0.13357465548300532,0.13357918576647246
74,0.13361316470647638,0.13355985966167355
75,0.13357465368839613,0.1335791965779233
76,0.13357750866066584,0.13355496000405134
77,0.13359817079396652,0.13360756349603545
78,0.13357465368839613,0.1335791965779233
79,0.1335688071936809,0.13357147685996815
80,0.13354587608049637,0.13354001219070163
81,0.13353626813292652,0.13354145777806128
82,0.13353596517114713,0.13353427796224376
83,0.13353544762959357,0.13353369108030416
84,0.13353544762959357,0.13353369108030416
85,0.13355548697173952,0.13355571887980924
86,0.13353544762959357,0.13353369108030416
87,0.13353544762959357,0.13353369108030416
88,0.13353753960404663,0.13354556179591406
89,0.13353544762959357,0.13353369108030416
90,0.13353544762959357,0.13353369108030416
91,0.13353544762959357,0.13353369108030416
92,0.13353544762959357,0.13353369108030416
93,0.13359319693935426,0.13358525918855943
94,0.13350024500525567,0.13350083040326383
95,0.1335124553149476,0.13350124179451442
96,0.13350024500525567,0.13350083040326383
97,0.13350101496875438,0.133504963761997
98,0.13346404188894626,0.1334597348047114
99,0.13347007006338682,0.1334583784853244
100,0.133446046015227,0.13343916599362934
101,0.13346142530911065,0.13346204041932214
102,0.13347414916686298,0.13351756316863975
103,0.13346021632603283,0.13346383045196925
104,0.133446046015227,0.13343916599362934
105,0.13342014612347972,0.13340954644493783
106,0.1334099430046242,0.13340821941528588
107,0.13360664330775468,0.1335694462394039
108,0.13331525609645087,0.13332166740939771
109,0.13340290038769154,0.13345805751484408
110,0.13331525609645087,0.13332166740939771
111,0.1333135004563578,0.13331379042727248
112,0.133313782797593,0.13331173012409694
113,0.1333085131457369,0.13331926248050993
114,0.1333085131457369,0.13331926248050993
115,0.13281588296315597,0.1327704622437901
116,0.13283737127452638,0.13278117498472508
117,0.1329022866585427,0.13289240049586346
118,0.13287718945059834,0.13283571403892805
119,0.13282901821935514,0.13276120452111934
120,0.13281588296315597,0.1327704622437901
121,0.13281588296315597,0.1327704622437901
122,0.13281588296315597,0.1327704622437901
123,0.1328252592415464,0.13277866189239299
124,0.13283058427380484,0.13278435223915502
125,0.13281588296315597,0.1327704622437901
126,0.13282318899898796,0.13278117781755958
127,0.13281271049462925,0.1327716789414445
128,0.13282343416586168,0.13278879609076552
129,0.13283172409836058,0.13280309705133994
130,0.1328205790146674,0.1327855461194754
131,0.13281271049462925,0.1327716789414445
132,0.13282548325799154,0.1327769340488362
133,0.13281028193234484,0.13277008414569277
134,0.13280988364064444,0.1327699489233615
135,0.13281442762010223,0.13278597098674644
136,0.13280663551913965,0.13277654790181984
137,0.13278471649414653,0.13273144807678938
138,0.13278947521350218,0.13274177403155515
139,0.1327726310058657,0.13270667319167984
140,0.1327726310058657,0.13270667319167984
141,0.1327726310058657,0.13270667319167984
142,0.132779292734719,0.13272088663338769
143,0.13270616458496745,0.13264876308175266
144,0.1327199891039813,0.13264656708428094
145,0.13270616458496745,0.13264876308175266
146,0.1326927875894205,0.1326378318776036
147,0.13276868369204414,0.13275126406871537
148,0.1326927875894205,0.1326378318776036
149,0.13253809514356304,0.13246492327035386
150,0.13253778181643264,0.13244612587213087
151,0.13254308082517846,0.13245255095644828
152,0.13253117944746515,0.13244165648652828
153,0.13254949408790423,0.13246250409170604
154,0.1324741928297248,0.13237774561217816
155,0.13250522266837966,0.13243639196786736
156,0.1324998812790019,0.13240991558909365
157,0.13246886608140168,0.13236416896858474
158,0.1324572496687286,0.13234630922684007
159,0.13244861780191688,0.13234859463985554
160,0.13243689651480786,0.13232508885612024
161,0.13243689651480786,0.13232508885612024
162,0.13243637090492694,0.13230983652780293
163,0.13243637090492694,0.13230983652780293
164,0.13243637090492694,0.13230983652780293
165,0.12731360371917053,0.12722385422098606
166,0.12732800058984783,0.1272424763177394
167,0.12731360371917053,0.12722385422098606
168,0.12731360371917053,0.12722385422098606
169,0.12733111509394285,0.1272357141696473
170,0.12733452220187053,0.12724786738389757
171,0.12730088571054413,0.12723201853005137
172,0.12730088571054413,0.12723201853005137
173,0.12730088571054413,0.12723201853005137
174,0.12731100423504765,0.1272444726543
175,0.12729024993636082,0.1271792444914406
176,0.12742986464555398,0.1273170938469309
177,0.1272908164709466,0.1271834823207923
178,0.12729205916775443,0.1271802309990942
179,0.12729377346541393,0.12717172550218775
180,0.12723584147949232,0.12711346050030942
181,0.12723584147949232,0.12711346050030942
182,0.12723584147949232,0.12711346050030942
183,0.12723584147949232,0.12711346050030942
184,0.1272284219915529,0.12710290275320318
185,0.127241723376372,0.12712878714642353
186,0.1272284219915529,0.12710290275320318
187,0.1272698410433635,0.12715127238580592
188,0.12722385112869933,0.1271004632647732
189,0.12710296054085862,0.12698489079222025
190,0.12711595753298233,0.12702037735167127
191,0.12710759275321024,0.12698595701827584
192,0.12710906421455234,0.12699426959857466
193,0.12710296054085862,0.12698489079222025
194,0.12716344582586506,0.12704950587967245
195,0.12710216318680703,0.1269844735351953
196,0.1271017000667668,0.12698334573008985
197,0.1271017000667668,0.12698334573008985
198,0.12712731143398556,0.1270103316726812
199,0.1271106721953158,0.12699846462069075
200,0.1270888338251564,0.1269826490518898
201,0.12709187658628754,0.12698560584904478
202,0.12708935454217388,0.12698161065570035
203,0.1270888338251564,0.1269826490518898
204,0.1270974307804752,0.12698219450259482
205,0.127048873580356,0.12696700315221665
206,0.12703470504493636,0.1269635925180651
207,0.12672351245850816,0.12660798076441046
208,0.12672879246765043,0.12661418636816912
209,0.12671622924752907,0.1265837776269011
210,0.12684845517197357,0.12673553339109236
211,0.12668965964807316,0.12655138696991006
212,0.1266891832991481,0.12655097779926766
213,0.126700019689795,0.1265523966783664
214,0.12668749258886813,0.12654681395717893
215,0.12668749258886813,0.12654681395717893
216,0.1266856450626133,0.12655280935050875
217,0.1266856450626133,0.12655280935050875
218,0.1267337394233268,0.12657166410256368
219,0.12667182561740425,0.12657653639003658
220,0.12666453443432898,0.1265729377032426
221,0.12666824674094568,0.126583893801251
222,0.12666453443432898,0.1265729377032426
223,0.12666453443432898,0.1265729377032426
224,0.12682300022554638,0.12668630058797092
225,0.12666453443432898,0.1265729377032426
226,0.12665789172952477,0.12656369569203624
227,0.12665789172952477,0.12656369569203624
228,0.12665785117117842,0.12656274090061773
229,0.12655407370837504,0.12646006491501077
230,0.12635327915442432,0.12626776088836225
231,0.1263418231775326,0.12624776924437048
232,0.12634204050470615,0.12624778493776864
233,0.12632533905376503,0.12628731181756184
234,0.1263290237878489,0.12630512303287017
235,0.12633799888705544,0.12631128064744565
236,0.126299769063583,0.12627287783264676
237,0.12629291067982149,0.12626410301397534
238,0.12629780954896644,0.1262721881935626
239,0.12629291067982149,0.12626410301397534
240,0.12633596683155268,0.12629138933080306
241,0.12629233770955758,0.1262634452604423
242,0.12635127953270148,0.12633525577969718
243,0.1263346870276755,0.1263047996550294
244,0.12627820630415848,0.1262479943891656
245,0.1262788119218951,0.1262486060644517
246,0.1262654335746372,0.12628079420244517
247,0.12621845603235504,0.12625894263454177
248,0.12621658164553115,0.12626279407548063
249,0.12622764729937475,0.12625440649134917
250,0.12626753751126354,0.12631670524542507
251,0.1262130751180695,0.1262554104715134
252,0.12621305574127684,0.1262555921283214
253,0.1262179679712656,0.12627499241365892
254,0.12621305574127684,0.1262555921283214
255,0.1262000949109754,0.12625016360706068
256,0.12619977138006144,0.12624984606562953
257,0.12614197536500696,0.12618185822634329
258,0.12613634027147422,0.1261801832240409
259,0.12613634027147422,0.1261801832240409
260,0.12614086767325242,0.12619992931279195
261,0.12613413566131948,0.12617758352308667
262,0.12613413566131948,0.12617758352308667
263,0.12613413566131948,0.12617758352308667
264,0.12613411900900381,0.12617758593922968
265,0.12613411900900381,0.12617758593922968
266,0.1261382844585906,0.12618214573188863
267,0.12613995625450586,0.12617947474480554
268,0.12617563514979802,0.12621067932717825
269,0.12613411900900381,0.12617758593922968
270,0.12610098157254213,0.12615596507345408
271,0.12610098157254213,0.12615596507345408
272,0.12610295035233388,0.12615847890676285
273,0.12600580121324262,0.1260585481022263
274,0.12599802630197723,0.12605671478164882
275,0.12600685129349837,0.1260592079644986
276,0.1260002651941442,0.12607768697092653
277,0.12601068479950783,0.1260687338087559
278,0.12599778934436293,0.126056382851948
279,0.12602207662032416,0.1260952712347691
280,0.12600551857195896,0.12605574092871744
281,0.1258944436678632,0.12591372231194406
282,0.1258944436678632,0.12591372231194406
283,0.12588915654333432,0.12591073984884912
284,0.1258682214463069,0.125950779784695
285,0.1258674448427974,0.12594872415388242
286,0.1258674448427974,0.12594872415388242
287,0.12590636260679963,0.1260171798008871
288,0.12586855909215694,0.1259465391449244
289,0.12606920388203602,0.1261324277161004
290,0.12587129061242738,0.12595122760759803
291,0.12587285976047483,0.12595686261884909
292,0.12587489928595638,0.1259502847973972
293,0.12588824141075064,0.12595928194223593
294,0.125876745159722,0.12594705627569075
295,0.12586829716970427,0.12593633856715264
296,0.12584739362627032,0.12593059956942027
297,0.12584739362627032,0.12593059956942027
