iteration,trainError,testError
0,0.12695116624048602,0.1270846003507355
1,0.12702469673509822,0.12714969177318022
2,0.1270608246204623,0.127196394518057
3,0.1270608246204623,0.127196394518057
4,0.12705135000685686,0.12718982352263822
5,0.12691023878221086,0.1270332924254798
6,0.12689772432240484,0.12703126665227152
7,0.12689778152780712,0.127031748499715
8,0.12691945553077844,0.127043919142615
9,0.1269611684711029,0.1271070098166712
10,0.12691545979609428,0.12706048321772387
11,0.12693297990346697,0.12706830729005436
12,0.12693261206000134,0.12706893175227868
13,0.12693712497250054,0.1270694325542474
14,0.12693985577814007,0.12706269092567984
15,0.126937450324398,0.12706108372723898
16,0.12693780278983208,0.12706268257948716
17,0.12696634150592595,0.1270901641976603
18,0.12696634150592595,0.1270901641976603
19,0.12694813386054285,0.1270801027504737
20,0.1268356573881778,0.12690890019180084
21,0.12684453331043705,0.1269109079343249
22,0.12684770432521605,0.12691308363228918
23,0.12684375118803282,0.12690672698745828
24,0.12682466466625594,0.12691162128830072
25,0.12681976461534195,0.12689409746671312
26,0.1268212850650955,0.12689747050618974
27,0.1268212850650955,0.12689747050618974
28,0.1268212850650955,0.12689747050618974
29,0.12671404496475486,0.12678314541564667
30,0.12671404496475486,0.12678314541564667
31,0.1267570496489374,0.12674402170554813
32,0.1267476459318221,0.12673621981817534
33,0.1267037421149651,0.12667880493298128
34,0.12670429616595402,0.12668486505638119
35,0.1267093758723875,0.12668864131683125
36,0.12673794647057537,0.1267422156491665
37,0.1267385162486375,0.12674112962415357
38,0.1267134395207374,0.12669357563603906
39,0.1267134395207374,0.12669357563603906
40,0.12671429622726413,0.12668304558406915
41,0.12668238795131637,0.12664925868601962
42,0.1266680644991812,0.12663486388636766
43,0.1266779776569853,0.12664571190668314
44,0.12667762465555182,0.12664544171873188
45,0.12667762465555182,0.12664544171873188
46,0.1266425523450279,0.12659723126700553
47,0.1266369581256382,0.1265997558203534
48,0.12663125735310557,0.1266017629095463
49,0.12663141375191983,0.12660280478093533
50,0.12658987645109293,0.12652658620620172
51,0.12658987645109293,0.12652658620620172
52,0.12683590315476026,0.12685356851904728
53,0.12683590315476026,0.12685356851904728
54,0.12682744981395516,0.12684022803021833
55,0.1268334363269544,0.12685958672833508
56,0.1268496364843876,0.1268741263412614
57,0.12682902033343746,0.1268605684258133
58,0.12684667064163258,0.1268686260105381
59,0.12686682094253207,0.12689321774228657
60,0.12691514630137393,0.12695388795820353
61,0.12692282173169472,0.1269562193596036
62,0.12692282173169472,0.1269562193596036
63,0.1269349850328146,0.12697043670904784
64,0.1269395823969569,0.12696263835546195
65,0.12694813049179451,0.126972835512002
66,0.1269590931795743,0.12698183543436203
67,0.12695827836214355,0.1269608422990617
68,0.12695827836214355,0.1269608422990617
69,0.12697372097033194,0.12697007472141014
70,0.1269739900705099,0.12696603568958836
71,0.12699353437050273,0.1269852626733721
72,0.12697086345142192,0.12696021667471083
73,0.1269689082616602,0.12696045224115307
74,0.12694492848759542,0.1269449681477893
75,0.12688015552746537,0.12686545874850746
76,0.1268999854433023,0.12686481280992024
77,0.12689588216467734,0.12685475385755307
78,0.12688106724646359,0.12686423756818804
79,0.12685004399910474,0.12684044415879211
80,0.1268583930826868,0.12684599644966496
81,0.1268583930826868,0.12684599644966496
82,0.1268583930826868,0.12684599644966496
83,0.12686809870525348,0.12685925166432452
84,0.126873023750755,0.12686230622345615
85,0.12686513074685488,0.12685506912043967
86,0.12686513074685488,0.12685506912043967
87,0.12686513074685488,0.12685506912043967
88,0.12686704123352954,0.12686451387115658
89,0.1268383067141803,0.12680484490783728
90,0.12684320421041467,0.12681082219674575
91,0.12711213171636337,0.12711531486725672
92,0.12711144631746824,0.1271110603428657
93,0.12711089481418125,0.12711068952373908
94,0.12711089481418125,0.12711068952373908
95,0.12676980676663413,0.12667647097227408
96,0.1268208608546795,0.1267050182670722
97,0.12683996677335296,0.12672405990564214
98,0.12685053887240028,0.12672738586661325
99,0.12686132935479602,0.12672778063633497
100,0.1268508053736426,0.12671889173452583
101,0.1268510431891326,0.12671617670027463
102,0.12687614157517196,0.12674320049403542
103,0.1268773501074675,0.12674545961982905
104,0.1269096247252533,0.12679706714789604
105,0.12693296520767386,0.12679537813024871
106,0.1269340122139525,0.12680602730763005
107,0.1269340122139525,0.12680602730763005
108,0.1269375798500773,0.12681075989645277
109,0.12691482328253192,0.12678174719345744
110,0.1269102483740832,0.12677565159118478
111,0.1269102483740832,0.12677565159118478
112,0.12689518902885275,0.12675522800684724
113,0.12689183490989384,0.12675195814244036
114,0.1268663590966531,0.1266953189053353
115,0.1268663590966531,0.1266953189053353
116,0.12676545178881418,0.1265843941140949
117,0.12676545178881418,0.1265843941140949
118,0.12677001323485126,0.12658890431259484
119,0.1267725895805466,0.1266017801364195
120,0.12676282029375127,0.12661741708004928
121,0.1267179196348705,0.1266166409859868
122,0.12668699749461942,0.12658910389929273
123,0.1266627025803578,0.12654975850637748
124,0.1266662291960792,0.12655328268257013
125,0.12666787998306617,0.1265541933549681
126,0.12666787998306617,0.1265541933549681
127,0.12666787998306617,0.1265541933549681
128,0.12667062516988262,0.12655537108280757
129,0.1266637257040569,0.12654611186876413
130,0.12666467506917833,0.12654689152111864
131,0.12666672814552263,0.12654863586248996
132,0.1266668470920524,0.12654910952274825
133,0.1266657650178469,0.12654821461250593
134,0.1266657650178469,0.12654821461250593
135,0.12664891136629455,0.12651048364286185
136,0.12664891136629455,0.12651048364286185
137,0.12664300632251338,0.12650350772205454
138,0.12664903899225435,0.1265102251943278
139,0.12664903899225435,0.1265102251943278
140,0.12670790028122123,0.12661388444963273
141,0.1267105309830207,0.1266181012933254
142,0.12671296295242335,0.12662510815687564
143,0.12671479434278857,0.1266295597067372
144,0.12671315544610567,0.12662416632260906
145,0.12837573686505174,0.12829386647021568
146,0.12837252994790752,0.12829294246111048
147,0.12837252994790752,0.12829294246111048
148,0.12837252994790752,0.12829294246111048
149,0.12837226831108717,0.1282924943495268
150,0.12837226831108717,0.1282924943495268
151,0.12831808228237135,0.12828139549203937
152,0.12830711203761724,0.12826771930148984
153,0.12830725814685745,0.12826733785340386
154,0.12709089655664646,0.12705371360964882
155,0.1270999637950601,0.12705997677286815
156,0.12710676381553127,0.12707038720323563
157,0.1270874680448012,0.12704441469282232
158,0.12708440602143756,0.12706411129402442
159,0.12708441018089847,0.12706339244294293
160,0.12708498657409395,0.12706355391132163
161,0.12708633133854144,0.12706508459778834
162,0.12708633133854144,0.12706508459778834
163,0.1270735363921924,0.1270485189413569
164,0.1270735363921924,0.1270485189413569
165,0.1270735363921924,0.1270485189413569
166,0.12707282757229393,0.12704859235442653
167,0.12707224113127516,0.12702550334347623
168,0.12707224113127516,0.12702550334347623
169,0.12707407656432043,0.12703006343336096
170,0.1270847223622804,0.1270504293763689
171,0.12709945685819848,0.12706963526782053
172,0.12710050595374286,0.12706905702377264
173,0.12714714077267247,0.1271215544669694
174,0.12715972631650097,0.12713534355552356
175,0.12720468704225196,0.12715910699372326
176,0.12723703121315247,0.12718399259817578
177,0.12723703121315247,0.12718399259817578
178,0.127238662410896,0.127184084057286
179,0.12724378838309805,0.1271907182465275
180,0.12724275750314348,0.12718858796763047
181,0.12724275750314348,0.12718858796763047
182,0.12724275750314348,0.12718858796763047
183,0.12724291880175065,0.12718921994479332
