INpute layer 0
184
9
2

Error results for SA
---------------------------
iteration 0 1159.892
iteration 1 1160.047
iteration 2 1159.824
iteration 3 1167.003
iteration 4 1168.474
iteration 5 1168.522
iteration 6 1168.522
iteration 7 1168.233
iteration 8 1168.233
iteration 9 1168.233
iteration 10 1168.174
iteration 11 1167.880
iteration 12 1167.879
iteration 13 1167.562
iteration 14 1167.257
iteration 15 1167.298
iteration 16 1164.385
iteration 17 1165.246
iteration 18 1165.302
iteration 19 1163.886
iteration 20 1163.878
iteration 21 1163.817
iteration 22 1163.817
iteration 23 1163.817
iteration 24 1163.842
iteration 25 1163.852
iteration 26 1163.870
iteration 27 1164.044
iteration 28 1163.854
iteration 29 1163.828
iteration 30 1166.586
iteration 31 1163.626
iteration 32 1163.626
iteration 33 1167.837
iteration 34 1165.567
iteration 35 1162.311
iteration 36 1162.174
iteration 37 1162.260
iteration 38 1162.163
iteration 39 1160.929
iteration 40 1160.899
iteration 41 1160.899
iteration 42 1160.899
iteration 43 1160.863
iteration 44 1160.996
iteration 45 1160.870
iteration 46 1161.141
iteration 47 1161.241
iteration 48 1160.870
iteration 49 1160.126
iteration 50 1160.104
iteration 51 1159.871
iteration 52 1159.894
iteration 53 1161.452
iteration 54 1159.765
iteration 55 1159.765
iteration 56 1159.142
iteration 57 1159.503
iteration 58 1159.142
iteration 59 1159.144
iteration 60 1159.176
iteration 61 1158.786
iteration 62 1158.908
iteration 63 1158.773
iteration 64 1159.118
iteration 65 1158.683
iteration 66 1158.674
iteration 67 1158.699
iteration 68 1162.281
iteration 69 1157.824
iteration 70 1157.780
iteration 71 1157.778
iteration 72 1157.778
iteration 73 1142.288
iteration 74 1142.460
iteration 75 1142.503
iteration 76 1142.290
iteration 77 1142.132
iteration 78 1141.975
iteration 79 1141.373
iteration 80 1141.373
iteration 81 1141.370
iteration 82 1141.381
iteration 83 1141.370
iteration 84 1141.399
iteration 85 1141.370
iteration 86 1141.783
iteration 87 1142.317
iteration 88 1141.347
iteration 89 1141.545
iteration 90 1141.432
iteration 91 1141.350
iteration 92 1140.961
iteration 93 1140.865
iteration 94 1140.571
iteration 95 1140.848
iteration 96 1140.598
iteration 97 1140.571
iteration 98 1141.059
iteration 99 1140.703
iteration 100 1140.570
iteration 101 1140.857
iteration 102 1140.464
iteration 103 1139.887
iteration 104 1139.872
iteration 105 1139.891
iteration 106 1139.465
iteration 107 1139.463
iteration 108 1139.328
iteration 109 1139.336
iteration 110 1139.328
iteration 111 1138.703
iteration 112 1138.703
iteration 113 1129.892
iteration 114 1130.051
iteration 115 1129.892
iteration 116 1129.982
iteration 117 1129.925
iteration 118 1129.816
iteration 119 1129.825
iteration 120 1128.468
iteration 121 1128.469
iteration 122 1128.410
iteration 123 1128.447
iteration 124 1128.419
iteration 125 1128.410
iteration 126 1128.410
iteration 127 1127.402
iteration 128 1127.481
iteration 129 1126.446
iteration 130 1127.023
iteration 131 1126.446
iteration 132 1126.446
iteration 133 1126.522
iteration 134 1128.479
iteration 135 1126.588
iteration 136 1126.619
iteration 137 1126.505
iteration 138 1126.454
iteration 139 1126.462
iteration 140 1131.659
iteration 141 1126.106
iteration 142 1126.066
iteration 143 1126.066
iteration 144 1126.066
iteration 145 1123.429
iteration 146 1126.065
iteration 147 1123.478
iteration 148 1124.132
iteration 149 1123.550
iteration 150 1123.661
iteration 151 1140.510
iteration 152 1123.432
iteration 153 1123.429
iteration 154 1123.436
iteration 155 1122.682
iteration 156 1151.347
iteration 157 1122.793
iteration 158 1122.682
iteration 159 1122.600
iteration 160 1122.660
iteration 161 1123.490
iteration 162 1122.621
iteration 163 1122.838
iteration 164 1122.706
iteration 165 1123.395
iteration 166 1122.600
iteration 167 1122.564
iteration 168 1122.550
iteration 169 1122.557
iteration 170 1122.556
iteration 171 1120.853
iteration 172 1120.853
iteration 173 1120.853
iteration 174 1120.853
iteration 175 1120.853
iteration 176 1120.853
iteration 177 1120.878
iteration 178 1120.324
iteration 179 1120.262
iteration 180 1120.262
iteration 181 1120.138
iteration 182 1120.150
iteration 183 1120.109
iteration 184 1120.102
iteration 185 1120.102
iteration 186 1120.155
iteration 187 1120.516
iteration 188 1120.406
iteration 189 1120.564
iteration 190 1151.274
iteration 191 1120.117
iteration 192 1120.381
iteration 193 1119.997
iteration 194 1120.008
iteration 195 1119.500
iteration 196 1119.494
iteration 197 1120.481
iteration 198 1119.497
iteration 199 1119.952
iteration 200 1119.470
iteration 201 1127.821
iteration 202 1119.447
iteration 203 1119.080
iteration 204 1117.420
iteration 205 1117.420
iteration 206 1116.609
iteration 207 1116.736
iteration 208 1117.019
iteration 209 1116.609
iteration 210 1116.358
iteration 211 1116.355
iteration 212 1116.458
iteration 213 1116.896
iteration 214 1116.873
iteration 215 1116.355
iteration 216 1114.822
iteration 217 1114.823
iteration 218 1114.824
iteration 219 1114.735
iteration 220 1119.278
iteration 221 1114.735
iteration 222 1113.971
iteration 223 1115.236
iteration 224 1113.970
iteration 225 1113.858
iteration 226 1114.032
iteration 227 1113.858
iteration 228 1113.896
iteration 229 1111.268
iteration 230 1111.157
iteration 231 1110.710
iteration 232 1110.968
iteration 233 1110.744
iteration 234 1111.019
iteration 235 1111.252
iteration 236 1110.761
iteration 237 1110.714
iteration 238 1110.710
iteration 239 1110.114
iteration 240 1111.006
iteration 241 1097.998
iteration 242 1098.042
iteration 243 1098.714
iteration 244 1098.006
iteration 245 1097.998
iteration 246 1097.158
iteration 247 1095.024
iteration 248 1095.059
iteration 249 1094.310
iteration 250 1095.236
iteration 251 1094.268
iteration 252 1101.792
iteration 253 1094.720
iteration 254 1094.527
iteration 255 1094.402
iteration 256 1094.135
iteration 257 1095.300
iteration 258 1094.156
iteration 259 1094.135
iteration 260 1094.077
iteration 261 1094.572
iteration 262 1094.054
iteration 263 1094.054
iteration 264 1094.291
iteration 265 1094.050
iteration 266 1094.050
iteration 267 1095.351
iteration 268 1094.050
iteration 269 1094.047
iteration 270 1097.554
iteration 271 1094.047
iteration 272 1095.715
iteration 273 1094.048
iteration 274 1095.365
iteration 275 1094.170
iteration 276 1092.654
iteration 277 1091.307
iteration 278 1091.360
iteration 279 1091.307
iteration 280 1091.307
iteration 281 1090.084
iteration 282 1090.084
iteration 283 1090.129
iteration 284 1090.093
iteration 285 1090.084
iteration 286 1089.918
iteration 287 1089.918
iteration 288 1089.918
iteration 289 1089.941
iteration 290 1089.943
iteration 291 1089.892
iteration 292 1087.241
iteration 293 1087.245
iteration 294 1087.523
iteration 295 1091.269
iteration 296 1087.240
iteration 297 1087.240
iteration 298 1087.241
iteration 299 1086.889
iteration 300 1086.889
iteration 301 1086.527
iteration 302 1086.347
iteration 303 1086.348
iteration 304 1086.347
iteration 305 1086.347
iteration 306 1086.347
iteration 307 1086.692
iteration 308 1087.591
iteration 309 1086.347
iteration 310 1088.187
iteration 311 1089.793
iteration 312 1086.347
iteration 313 1086.344
iteration 314 1086.352
iteration 315 1086.344
iteration 316 1086.344
iteration 317 1086.344
iteration 318 1101.494
iteration 319 1086.344
iteration 320 1086.274
iteration 321 1086.586
iteration 322 1085.983
iteration 323 1085.988
iteration 324 1085.981
iteration 325 1085.704
iteration 326 1091.622
iteration 327 1085.627
iteration 328 1085.627
iteration 329 1085.634
iteration 330 1085.679
iteration 331 1086.135
iteration 332 1085.632
iteration 333 1085.627
iteration 334 1085.226
iteration 335 1085.197
iteration 336 1085.112
iteration 337 1084.543
iteration 338 1084.557
iteration 339 1084.543
iteration 340 1085.296
iteration 341 1085.356
iteration 342 1084.544
iteration 343 1084.543
iteration 344 1084.551
iteration 345 1085.429
iteration 346 1084.502
iteration 347 1084.984
iteration 348 1084.956
iteration 349 1086.111
iteration 350 1084.459
iteration 351 1084.449
iteration 352 1084.534
iteration 353 1084.457
iteration 354 1084.449
iteration 355 1084.449
iteration 356 1084.706
iteration 357 1084.411
iteration 358 1084.413
iteration 359 1083.205
iteration 360 1084.745
iteration 361 1082.459
iteration 362 1082.697
iteration 363 1082.476
iteration 364 1081.951
iteration 365 1081.976
iteration 366 1081.951
iteration 367 1080.499
iteration 368 1080.492
iteration 369 1080.178
iteration 370 1080.177
iteration 371 1080.177
iteration 372 1081.757
iteration 373 1080.177
iteration 374 1079.912
iteration 375 1079.917
iteration 376 1080.041
iteration 377 1079.605
iteration 378 1079.610
iteration 379 1079.604
iteration 380 1079.604
iteration 381 1079.604
iteration 382 1079.609
iteration 383 1074.620
iteration 384 1074.616
iteration 385 1074.626
iteration 386 1074.630
iteration 387 1074.616
iteration 388 1074.581
iteration 389 1074.581
iteration 390 1074.576
iteration 391 1074.673
iteration 392 1074.576
iteration 393 1074.298
iteration 394 1074.297
iteration 395 1075.743
iteration 396 1075.336
iteration 397 1074.297
iteration 398 1074.297
iteration 399 1074.298
iteration 400 1074.837
iteration 401 1073.840
iteration 402 1073.840
iteration 403 1073.840
iteration 404 1073.881
iteration 405 1073.922
iteration 406 1073.840
iteration 407 1073.831
iteration 408 1073.839
iteration 409 1074.937
iteration 410 1076.013
iteration 411 1073.985
iteration 412 1074.140
iteration 413 1074.083
iteration 414 1073.938
iteration 415 1079.904
iteration 416 1073.854
iteration 417 1073.867
iteration 418 1073.854
iteration 419 1074.154
iteration 420 1073.829
iteration 421 1073.826
iteration 422 1073.818
iteration 423 1073.730
iteration 424 1073.560
iteration 425 1073.560
iteration 426 1075.807
iteration 427 1073.482
iteration 428 1072.889
iteration 429 1072.894
iteration 430 1072.867
iteration 431 1072.900
iteration 432 1072.874
iteration 433 1072.861
iteration 434 1072.740
iteration 435 1075.435
iteration 436 1065.807
iteration 437 1064.329
iteration 438 1062.989
iteration 439 1063.010
iteration 440 1062.333
iteration 441 1062.333
iteration 442 1058.021
iteration 443 1057.633
iteration 444 1057.633
iteration 445 1058.758
iteration 446 1057.538
iteration 447 1057.550
iteration 448 1057.538
iteration 449 1057.703
iteration 450 1058.477
iteration 451 1057.877
iteration 452 1061.860
iteration 453 1058.309
iteration 454 1059.328
iteration 455 1062.739
iteration 456 1057.569
iteration 457 1057.538
iteration 458 1057.472
iteration 459 1057.467
iteration 460 1056.815
iteration 461 1056.827
iteration 462 1056.815
iteration 463 1056.815
iteration 464 1056.963
iteration 465 1056.654
iteration 466 1055.963
iteration 467 1055.582
iteration 468 1056.108
iteration 469 1055.582
iteration 470 1055.518
iteration 471 1055.519
iteration 472 1055.787
iteration 473 1055.940
iteration 474 1055.656
iteration 475 1056.505
iteration 476 1055.545
iteration 477 1055.469
iteration 478 1055.328
iteration 479 1055.280
iteration 480 1057.398
iteration 481 1055.500
iteration 482 1055.280
iteration 483 1055.672
iteration 484 1055.305
iteration 485 1055.280
iteration 486 1054.750
iteration 487 1054.742
iteration 488 1054.742
iteration 489 1054.405
iteration 490 1056.822
iteration 491 1054.405
iteration 492 1050.635
iteration 493 1050.659
iteration 494 1050.720
iteration 495 1050.921
iteration 496 1050.634
iteration 497 1050.634
iteration 498 1050.648
iteration 499 1050.608
iteration 500 1050.783
iteration 501 1050.608
iteration 502 1050.886
iteration 503 1050.594
iteration 504 1049.589
iteration 505 1049.800
iteration 506 1050.458
iteration 507 1049.615
iteration 508 1050.042
iteration 509 1049.614
iteration 510 1049.566
iteration 511 1049.566
iteration 512 1049.696
iteration 513 1059.030
iteration 514 1049.566
iteration 515 1049.645
iteration 516 1049.566
iteration 517 1050.248
iteration 518 1049.441
iteration 519 1049.436
iteration 520 1049.579
iteration 521 1048.064
