INpute layer 0
184
9
2

Error results for SA
---------------------------
iteration 0 1144.602
iteration 1 1144.636
iteration 2 1147.019
iteration 3 1147.122
iteration 4 1147.074
iteration 5 1147.074
iteration 6 1147.074
iteration 7 1147.074
iteration 8 1147.074
iteration 9 1147.074
iteration 10 1147.074
iteration 11 1147.103
iteration 12 1147.096
iteration 13 1146.951
iteration 14 1146.789
iteration 15 1146.755
iteration 16 1146.507
iteration 17 1146.648
iteration 18 1146.648
iteration 19 1147.001
iteration 20 1153.365
iteration 21 1152.713
iteration 22 1152.713
iteration 23 1152.717
iteration 24 1151.541
iteration 25 1151.076
iteration 26 1157.549
iteration 27 1157.600
iteration 28 1157.026
iteration 29 1162.970
iteration 30 1162.974
iteration 31 1162.969
iteration 32 1162.969
iteration 33 1162.993
iteration 34 1163.606
iteration 35 1163.503
iteration 36 1163.637
iteration 37 1164.257
iteration 38 1164.254
iteration 39 1163.803
iteration 40 1163.771
iteration 41 1163.714
iteration 42 1163.783
iteration 43 1159.079
iteration 44 1159.079
iteration 45 1160.152
iteration 46 1160.152
iteration 47 1160.152
iteration 48 1160.144
iteration 49 1160.138
iteration 50 1159.912
iteration 51 1159.912
iteration 52 1160.097
iteration 53 1160.097
iteration 54 1160.100
iteration 55 1160.159
iteration 56 1160.159
iteration 57 1160.121
iteration 58 1160.143
iteration 59 1160.144
iteration 60 1160.144
iteration 61 1160.144
iteration 62 1160.144
iteration 63 1160.147
iteration 64 1122.800
iteration 65 1122.802
iteration 66 1121.984
iteration 67 1121.985
iteration 68 1121.975
iteration 69 1122.036
iteration 70 1122.064
iteration 71 1122.056
iteration 72 1122.056
iteration 73 1122.039
iteration 74 1122.040
iteration 75 1122.167
iteration 76 1120.876
iteration 77 1121.214
iteration 78 1121.214
iteration 79 1121.214
iteration 80 1117.451
iteration 81 1117.154
iteration 82 1117.174
iteration 83 1117.174
iteration 84 1117.172
iteration 85 1117.172
iteration 86 1117.172
iteration 87 1117.172
iteration 88 1116.754
iteration 89 1116.751
iteration 90 1116.282
iteration 91 1116.287
iteration 92 1116.312
iteration 93 1116.297
iteration 94 1115.502
iteration 95 1115.503
iteration 96 1115.489
iteration 97 1115.424
iteration 98 1115.325
iteration 99 1115.322
iteration 100 1115.005
iteration 101 1114.996
iteration 102 1114.804
iteration 103 1114.804
iteration 104 1114.761
iteration 105 1114.914
iteration 106 1114.787
iteration 107 1114.807
iteration 108 1114.807
iteration 109 1114.442
iteration 110 1149.527
iteration 111 1149.547
iteration 112 1149.599
iteration 113 1149.843
iteration 114 1149.843
iteration 115 1147.511
iteration 116 1147.513
iteration 117 1149.454
iteration 118 1149.417
iteration 119 1153.349
iteration 120 1153.374
iteration 121 1153.374
iteration 122 1153.422
iteration 123 1153.415
iteration 124 1153.431
iteration 125 1153.438
iteration 126 1153.080
iteration 127 1153.080
iteration 128 1150.107
iteration 129 1150.095
iteration 130 1145.446
iteration 131 1145.427
iteration 132 1145.433
iteration 133 1145.518
iteration 134 1145.450
iteration 135 1145.450
iteration 136 1145.210
iteration 137 1145.206
iteration 138 1145.217
iteration 139 1145.217
iteration 140 1145.218
iteration 141 1145.281
iteration 142 1145.165
iteration 143 1145.165
iteration 144 1145.135
iteration 145 1145.143
iteration 146 1145.149
iteration 147 1144.098
iteration 148 1144.136
iteration 149 1144.137
iteration 150 1144.133
iteration 151 1144.109
iteration 152 1144.109
iteration 153 1144.349
iteration 154 1144.328
iteration 155 1144.348
iteration 156 1141.808
iteration 157 1141.780
iteration 158 1141.765
iteration 159 1144.131
iteration 160 1144.125
iteration 161 1144.120
iteration 162 1144.193
iteration 163 1144.193
iteration 164 1144.193
iteration 165 1144.340
iteration 166 1144.340
iteration 167 1144.340
iteration 168 1144.340
iteration 169 1144.358
iteration 170 1144.244
iteration 171 1144.244
iteration 172 1144.190
iteration 173 1144.168
iteration 174 1144.151
iteration 175 1144.068
iteration 176 1144.022
iteration 177 1142.885
iteration 178 1142.887
iteration 179 1142.906
iteration 180 1142.907
iteration 181 1142.881
iteration 182 1142.855
iteration 183 1142.847
iteration 184 1142.900
iteration 185 1142.918
iteration 186 1142.943
iteration 187 1142.943
iteration 188 1142.944
iteration 189 1142.947
iteration 190 1142.544
iteration 191 1142.555
iteration 192 1142.550
iteration 193 1142.550
iteration 194 1142.530
iteration 195 1142.493
iteration 196 1142.493
iteration 197 1142.471
iteration 198 1142.472
iteration 199 1142.300
iteration 200 1141.874
iteration 201 1141.875
iteration 202 1141.873
iteration 203 1141.928
iteration 204 1141.924
iteration 205 1141.924
iteration 206 1141.900
iteration 207 1141.900
iteration 208 1141.901
iteration 209 1141.901
iteration 210 1141.824
iteration 211 1141.824
iteration 212 1140.603
iteration 213 1140.553
iteration 214 1140.551
iteration 215 1140.565
iteration 216 1140.565
iteration 217 1140.567
iteration 218 1140.553
iteration 219 1140.585
iteration 220 1140.599
iteration 221 1140.918
iteration 222 1140.918
iteration 223 1140.912
iteration 224 1143.819
iteration 225 1143.869
iteration 226 1144.169
iteration 227 1144.168
iteration 228 1144.168
iteration 229 1144.162
iteration 230 1144.162
iteration 231 1144.169
iteration 232 1144.170
iteration 233 1144.170
iteration 234 1144.194
iteration 235 1144.193
iteration 236 1144.191
iteration 237 1144.199
iteration 238 1144.886
iteration 239 1144.626
iteration 240 1144.742
iteration 241 1228.129
iteration 242 1228.437
iteration 243 1228.437
iteration 244 1228.556
iteration 245 1228.577
iteration 246 1228.502
iteration 247 1228.377
iteration 248 1228.172
iteration 249 1228.166
iteration 250 1228.260
iteration 251 1228.274
iteration 252 1228.274
iteration 253 1228.274
iteration 254 1228.319
iteration 255 1228.681
iteration 256 1228.703
iteration 257 1228.673
iteration 258 1228.643
iteration 259 1228.720
iteration 260 1229.152
iteration 261 1229.128
iteration 262 1228.985
iteration 263 1229.341
iteration 264 1229.347
iteration 265 1229.395
iteration 266 1229.644
iteration 267 1229.622
iteration 268 1229.622
iteration 269 1229.612
iteration 270 1229.625
iteration 271 1229.638
iteration 272 1229.649
iteration 273 1229.759
iteration 274 1229.491
iteration 275 1231.083
iteration 276 1231.089
iteration 277 1233.493
iteration 278 1233.485
iteration 279 1233.496
iteration 280 1233.379
iteration 281 1233.378
iteration 282 1233.378
iteration 283 1233.326
iteration 284 1233.108
iteration 285 1233.108
iteration 286 1233.159
iteration 287 1233.163
iteration 288 1233.159
iteration 289 1233.159
iteration 290 1231.538
iteration 291 1231.535
iteration 292 1231.535
iteration 293 1231.535
iteration 294 1231.540
iteration 295 1231.573
iteration 296 1231.573
iteration 297 1231.632
iteration 298 1231.630
iteration 299 1230.997
iteration 300 1231.070
iteration 301 1231.072
iteration 302 1231.157
iteration 303 1230.569
iteration 304 1230.580
iteration 305 1228.275
iteration 306 1228.052
iteration 307 1228.039
iteration 308 1225.563
iteration 309 1225.561
iteration 310 1225.896
iteration 311 1225.896
iteration 312 1225.916
iteration 313 1225.960
iteration 314 1226.159
iteration 315 1226.224
iteration 316 1224.787
iteration 317 1224.330
iteration 318 1224.309
iteration 319 1224.309
iteration 320 1224.239
iteration 321 1224.239
iteration 322 1224.296
iteration 323 1224.273
iteration 324 1223.521
iteration 325 1223.520
iteration 326 1223.541
iteration 327 1223.671
iteration 328 1223.763
iteration 329 1223.671
iteration 330 1223.671
iteration 331 1223.671
iteration 332 1223.671
iteration 333 1223.671
iteration 334 1223.617
iteration 335 1223.617
iteration 336 1223.626
iteration 337 1224.101
iteration 338 1223.982
iteration 339 1223.987
iteration 340 1223.894
iteration 341 1223.881
iteration 342 1223.956
iteration 343 1223.954
iteration 344 1223.952
iteration 345 1223.750
iteration 346 1223.750
iteration 347 1223.751
iteration 348 1223.837
iteration 349 1224.357
iteration 350 1224.414
iteration 351 1224.415
iteration 352 1224.317
iteration 353 1224.261
iteration 354 1224.257
iteration 355 1224.194
iteration 356 1224.197
iteration 357 1224.379
iteration 358 1224.379
iteration 359 1224.379
iteration 360 1224.349
iteration 361 1224.040
iteration 362 1224.055
iteration 363 1223.664
iteration 364 1223.675
iteration 365 1223.675
iteration 366 1220.403
iteration 367 1220.403
iteration 368 1220.403
iteration 369 1219.798
iteration 370 1219.713
iteration 371 1219.713
iteration 372 1219.796
iteration 373 1219.811
iteration 374 1219.776
iteration 375 1219.776
iteration 376 1219.919
iteration 377 1219.919
iteration 378 1220.242
iteration 379 1219.902
iteration 380 1219.911
iteration 381 1219.998
iteration 382 1219.399
iteration 383 1219.422
iteration 384 1219.392
iteration 385 1219.304
iteration 386 1219.304
iteration 387 1219.450
iteration 388 1219.463
iteration 389 1219.468
iteration 390 1219.561
iteration 391 1219.519
iteration 392 1219.481
iteration 393 1219.481
iteration 394 1219.514
iteration 395 1219.530
iteration 396 1219.412
iteration 397 1219.412
iteration 398 1219.701
iteration 399 1219.820
iteration 400 1219.829
iteration 401 1219.826
iteration 402 1220.137
iteration 403 1220.140
iteration 404 1220.127
iteration 405 1219.572
iteration 406 1219.240
iteration 407 1219.252
iteration 408 1220.171
iteration 409 1220.254
iteration 410 1220.286
iteration 411 1220.271
iteration 412 1220.267
iteration 413 1220.259
iteration 414 1220.259
iteration 415 1220.553
iteration 416 1220.552
iteration 417 1220.864
iteration 418 1220.864
iteration 419 1220.782
iteration 420 1220.526
iteration 421 1220.526
iteration 422 1221.592
iteration 423 1221.735
iteration 424 1221.735
iteration 425 1221.735
iteration 426 1221.699
iteration 427 1221.801
iteration 428 1221.935
iteration 429 1221.762
iteration 430 1221.762
iteration 431 1221.699
iteration 432 1221.696
iteration 433 1221.226
iteration 434 1221.218
iteration 435 1221.331
iteration 436 1221.307
iteration 437 1221.353
iteration 438 1221.385
iteration 439 1221.531
iteration 440 1221.656
iteration 441 1221.654
iteration 442 1221.670
iteration 443 1221.693
iteration 444 1221.684
iteration 445 1221.730
iteration 446 1221.767
iteration 447 1221.848
iteration 448 1221.919
iteration 449 1221.918
iteration 450 1221.918
iteration 451 1221.980
iteration 452 1221.965
iteration 453 1221.965
iteration 454 1221.965
iteration 455 1221.965
iteration 456 1221.965
iteration 457 1221.965
iteration 458 1220.461
iteration 459 1220.422
iteration 460 1220.422
iteration 461 1220.437
iteration 462 1220.405
iteration 463 1220.287
iteration 464 1220.226
iteration 465 1220.224
iteration 466 1220.327
iteration 467 1220.745
iteration 468 1220.652
iteration 469 1220.455
iteration 470 1220.466
iteration 471 1220.466
iteration 472 1220.466
iteration 473 1220.290
iteration 474 1220.290
iteration 475 1220.290
iteration 476 1220.290
iteration 477 1221.854
iteration 478 1221.982
iteration 479 1221.982
iteration 480 1221.982
iteration 481 1221.982
iteration 482 1222.048
iteration 483 1222.015
iteration 484 1221.998
iteration 485 1222.254
iteration 486 1222.248
iteration 487 1222.250
iteration 488 1222.250
iteration 489 1210.137
iteration 490 1210.139
iteration 491 1213.601
iteration 492 1213.601
iteration 493 1213.737
iteration 494 1214.037
iteration 495 1214.042
iteration 496 1214.042
iteration 497 1214.021
iteration 498 1213.997
iteration 499 1214.081
iteration 500 1214.115
iteration 501 1214.115
iteration 502 1214.156
iteration 503 1214.155
iteration 504 1214.146
iteration 505 1214.150
iteration 506 1214.151
iteration 507 1217.029
iteration 508 1217.029
iteration 509 1217.029
iteration 510 1217.052
iteration 511 1217.046
iteration 512 1217.120
iteration 513 1217.120
iteration 514 1217.002
iteration 515 1217.258
iteration 516 1217.273
iteration 517 1217.171
iteration 518 1217.078
iteration 519 1217.075
iteration 520 1216.226
iteration 521 1216.226
