INpute layer 0
184
9
2

Error results for SA
---------------------------
iteration 0 1143.048
iteration 1 1143.048
iteration 2 1143.109
iteration 3 1143.109
iteration 4 1143.109
iteration 5 1143.053
iteration 6 1142.290
iteration 7 1142.290
iteration 8 1142.049
iteration 9 1142.052
iteration 10 1141.860
iteration 11 1141.792
iteration 12 1141.867
iteration 13 1141.890
iteration 14 1141.890
iteration 15 1141.816
iteration 16 1141.932
iteration 17 1142.131
iteration 18 1142.131
iteration 19 1142.448
iteration 20 1142.448
iteration 21 1142.759
iteration 22 1142.548
iteration 23 1142.548
iteration 24 1142.568
iteration 25 1142.656
iteration 26 1142.643
iteration 27 1142.346
iteration 28 1142.309
iteration 29 1142.400
iteration 30 1142.540
iteration 31 1141.857
iteration 32 1141.977
iteration 33 1141.948
iteration 34 1141.864
iteration 35 1141.568
iteration 36 1141.220
iteration 37 1141.008
iteration 38 1141.077
iteration 39 1140.860
iteration 40 1140.860
iteration 41 1141.124
iteration 42 1141.122
iteration 43 1141.122
iteration 44 1140.311
iteration 45 1140.234
iteration 46 1140.234
iteration 47 1140.120
iteration 48 1140.078
iteration 49 1140.104
iteration 50 1140.104
iteration 51 1140.104
iteration 52 1139.898
iteration 53 1140.063
iteration 54 1140.034
iteration 55 1140.255
iteration 56 1140.255
iteration 57 1140.255
iteration 58 1140.264
iteration 59 1140.315
iteration 60 1138.881
iteration 61 1139.149
iteration 62 1139.149
iteration 63 1139.149
iteration 64 1139.896
iteration 65 1139.833
iteration 66 1139.833
iteration 67 1140.229
iteration 68 1140.229
iteration 69 1140.229
iteration 70 1139.849
iteration 71 1139.849
iteration 72 1139.811
iteration 73 1139.874
iteration 74 1139.874
iteration 75 1139.634
iteration 76 1139.640
iteration 77 1139.735
iteration 78 1139.714
iteration 79 1139.475
iteration 80 1139.491
iteration 81 1139.491
iteration 82 1139.666
iteration 83 1139.624
iteration 84 1140.519
iteration 85 1140.557
iteration 86 1140.600
iteration 87 1139.838
iteration 88 1140.114
iteration 89 1140.114
iteration 90 1140.211
iteration 91 1139.839
iteration 92 1139.748
iteration 93 1139.434
iteration 94 1139.585
iteration 95 1139.610
iteration 96 1139.581
iteration 97 1139.350
iteration 98 1139.271
iteration 99 1139.272
iteration 100 1139.347
iteration 101 1139.322
iteration 102 1139.322
iteration 103 1139.622
iteration 104 1139.601
iteration 105 1139.725
iteration 106 1139.054
iteration 107 1139.045
iteration 108 1139.045
iteration 109 1139.039
iteration 110 1139.016
iteration 111 1139.016
iteration 112 1138.888
iteration 113 1138.760
iteration 114 1138.631
iteration 115 1137.682
iteration 116 1138.104
iteration 117 1138.104
iteration 118 1138.622
iteration 119 1138.595
iteration 120 1138.573
iteration 121 1138.573
iteration 122 1137.932
iteration 123 1138.078
iteration 124 1138.087
iteration 125 1138.087
iteration 126 1138.087
iteration 127 1138.212
iteration 128 1138.542
iteration 129 1138.620
iteration 130 1138.545
iteration 131 1138.509
iteration 132 1138.427
iteration 133 1137.979
iteration 134 1138.055
iteration 135 1138.069
iteration 136 1138.166
iteration 137 1138.291
iteration 138 1138.323
iteration 139 1138.673
iteration 140 1138.569
iteration 141 1138.722
iteration 142 1139.380
iteration 143 1139.082
iteration 144 1139.005
iteration 145 1138.831
iteration 146 1138.775
iteration 147 1137.271
iteration 148 1137.271
iteration 149 1137.271
iteration 150 1137.268
iteration 151 1137.162
iteration 152 1137.162
iteration 153 1136.773
iteration 154 1137.420
iteration 155 1137.579
iteration 156 1137.579
iteration 157 1137.668
iteration 158 1137.738
iteration 159 1137.743
iteration 160 1137.743
iteration 161 1137.583
iteration 162 1137.045
iteration 163 1137.231
iteration 164 1136.950
iteration 165 1136.982
iteration 166 1136.664
iteration 167 1136.678
iteration 168 1136.783
iteration 169 1136.943
iteration 170 1136.658
iteration 171 1136.658
iteration 172 1136.658
iteration 173 1136.658
iteration 174 1136.658
iteration 175 1136.658
iteration 176 1136.658
iteration 177 1136.658
iteration 178 1136.658
iteration 179 1136.602
iteration 180 1136.626
iteration 181 1136.654
iteration 182 1136.654
iteration 183 1136.654
iteration 184 1136.654
iteration 185 1136.654
iteration 186 1136.648
iteration 187 1136.601
iteration 188 1136.559
iteration 189 1136.570
iteration 190 1136.319
iteration 191 1136.420
iteration 192 1136.436
iteration 193 1136.414
iteration 194 1136.730
iteration 195 1136.795
iteration 196 1136.795
iteration 197 1136.647
iteration 198 1136.428
iteration 199 1136.428
iteration 200 1136.428
iteration 201 1136.407
iteration 202 1136.407
iteration 203 1136.407
iteration 204 1136.428
iteration 205 1136.326
iteration 206 1136.374
iteration 207 1136.923
iteration 208 1136.923
iteration 209 1140.941
iteration 210 1141.003
iteration 211 1141.126
iteration 212 1141.126
iteration 213 1141.126
iteration 214 1137.098
iteration 215 1137.148
iteration 216 1137.650
iteration 217 1137.654
iteration 218 1136.238
iteration 219 1136.238
iteration 220 1136.212
iteration 221 1136.305
iteration 222 1136.130
iteration 223 1136.310
iteration 224 1136.218
iteration 225 1136.300
iteration 226 1136.300
iteration 227 1136.206
iteration 228 1136.329
iteration 229 1136.230
iteration 230 1136.230
iteration 231 1136.597
iteration 232 1136.875
iteration 233 1136.875
iteration 234 1102.834
iteration 235 1102.843
iteration 236 1102.758
iteration 237 1102.758
iteration 238 1102.758
iteration 239 1102.811
iteration 240 1102.811
iteration 241 1102.811
iteration 242 1102.870
iteration 243 1102.870
iteration 244 1102.870
iteration 245 1102.870
iteration 246 1102.870
iteration 247 1102.955
iteration 248 1102.562
iteration 249 1102.562
iteration 250 1102.562
iteration 251 1102.373
iteration 252 1102.373
iteration 253 1102.407
iteration 254 1102.424
iteration 255 1102.334
iteration 256 1102.334
iteration 257 1102.295
iteration 258 1101.705
iteration 259 1101.644
iteration 260 1101.644
iteration 261 1101.644
iteration 262 1099.672
iteration 263 1099.654
iteration 264 1099.637
iteration 265 1099.638
iteration 266 1099.643
iteration 267 1099.763
iteration 268 1099.768
iteration 269 1099.684
iteration 270 1099.765
iteration 271 1099.751
iteration 272 1099.561
iteration 273 1098.888
iteration 274 1098.851
iteration 275 1098.851
iteration 276 1098.718
iteration 277 1098.718
iteration 278 1098.516
iteration 279 1098.717
iteration 280 1098.696
iteration 281 1098.666
iteration 282 1098.666
iteration 283 1098.666
iteration 284 1098.604
iteration 285 1098.640
iteration 286 1098.487
iteration 287 1098.464
iteration 288 1098.465
iteration 289 1098.466
iteration 290 1098.466
iteration 291 1098.498
iteration 292 1098.356
iteration 293 1098.356
iteration 294 1098.368
iteration 295 1098.322
iteration 296 1098.322
iteration 297 1098.011
iteration 298 1099.191
iteration 299 1099.070
iteration 300 1099.109
iteration 301 1099.109
iteration 302 1099.255
iteration 303 1099.255
iteration 304 1099.255
iteration 305 1099.255
iteration 306 1099.004
iteration 307 1099.014
iteration 308 1098.775
iteration 309 1099.151
iteration 310 1099.292
iteration 311 1099.346
iteration 312 1099.358
iteration 313 1099.398
iteration 314 1099.427
iteration 315 1099.334
iteration 316 1099.334
iteration 317 1099.334
iteration 318 1099.334
iteration 319 1099.347
iteration 320 1099.347
iteration 321 1099.462
iteration 322 1099.462
iteration 323 1099.422
iteration 324 1099.378
iteration 325 1099.377
iteration 326 1099.377
iteration 327 1099.455
iteration 328 1099.461
iteration 329 1098.462
iteration 330 1098.462
iteration 331 1098.289
iteration 332 1098.409
iteration 333 1098.466
iteration 334 1099.263
iteration 335 1099.263
iteration 336 1099.682
iteration 337 1099.682
iteration 338 1099.938
iteration 339 1099.938
iteration 340 1099.938
iteration 341 1115.361
iteration 342 1115.246
iteration 343 1115.205
iteration 344 1115.203
iteration 345 1114.809
iteration 346 1114.830
iteration 347 1114.788
iteration 348 1114.788
iteration 349 1114.967
iteration 350 1114.909
iteration 351 1114.909
iteration 352 1114.908
iteration 353 1114.913
iteration 354 1121.201
iteration 355 1121.228
iteration 356 1121.228
iteration 357 1121.228
iteration 358 1121.228
iteration 359 1121.404
iteration 360 1121.288
iteration 361 1121.249
iteration 362 1121.242
iteration 363 1121.355
iteration 364 1121.357
iteration 365 1121.357
iteration 366 1120.882
iteration 367 1120.734
iteration 368 1120.734
iteration 369 1120.699
iteration 370 1120.601
iteration 371 1120.601
iteration 372 1120.621
iteration 373 1120.621
iteration 374 1120.443
iteration 375 1120.443
iteration 376 1120.445
iteration 377 1120.445
iteration 378 1120.445
iteration 379 1120.663
iteration 380 1120.663
iteration 381 1120.663
iteration 382 1120.489
iteration 383 1120.390
iteration 384 1120.390
iteration 385 1120.334
iteration 386 1120.341
iteration 387 1120.344
iteration 388 1120.344
iteration 389 1120.344
iteration 390 1120.384
iteration 391 1120.634
iteration 392 1120.634
iteration 393 1120.634
iteration 394 1120.672
iteration 395 1120.672
iteration 396 1120.832
iteration 397 1120.832
iteration 398 1120.683
iteration 399 1120.683
iteration 400 1120.683
iteration 401 1120.683
iteration 402 1120.661
iteration 403 1120.667
iteration 404 1120.667
iteration 405 1120.667
iteration 406 1120.636
iteration 407 1120.812
iteration 408 1120.812
iteration 409 1120.812
iteration 410 1120.787
iteration 411 1120.788
iteration 412 1120.695
iteration 413 1120.739
iteration 414 1120.748
iteration 415 1120.748
iteration 416 1120.748
iteration 417 1120.815
iteration 418 1120.815
iteration 419 1120.802
iteration 420 1119.917
iteration 421 1119.922
iteration 422 1119.972
iteration 423 1119.992
iteration 424 1119.873
iteration 425 1119.839
iteration 426 1119.843
iteration 427 1119.843
iteration 428 1119.898
iteration 429 1119.898
iteration 430 1119.898
iteration 431 1119.913
iteration 432 1119.946
iteration 433 1120.069
iteration 434 1120.069
iteration 435 1120.069
iteration 436 1120.069
iteration 437 1120.061
iteration 438 1119.845
iteration 439 1119.890
iteration 440 1119.847
iteration 441 1119.842
iteration 442 1119.474
iteration 443 1119.432
iteration 444 1119.475
iteration 445 1119.473
iteration 446 1119.473
iteration 447 1119.485
iteration 448 1119.485
iteration 449 1119.404
iteration 450 1119.781
iteration 451 1119.875
iteration 452 1119.875
iteration 453 1119.805
iteration 454 1119.805
iteration 455 1119.964
iteration 456 1120.141
iteration 457 1120.141
iteration 458 1120.141
iteration 459 1120.094
iteration 460 1119.925
iteration 461 1119.926
iteration 462 1119.938
iteration 463 1119.938
iteration 464 1119.914
iteration 465 1119.931
iteration 466 1119.958
iteration 467 1119.938
iteration 468 1120.081
iteration 469 1120.083
iteration 470 1120.022
iteration 471 1120.006
iteration 472 1120.010
iteration 473 1120.050
iteration 474 1120.054
iteration 475 1120.065
iteration 476 1119.931
iteration 477 1119.937
iteration 478 1119.852
iteration 479 1119.850
iteration 480 1119.801
iteration 481 1119.814
iteration 482 1119.767
iteration 483 1119.767
iteration 484 1119.729
iteration 485 1120.007
iteration 486 1120.017
iteration 487 1120.013
iteration 488 1120.041
iteration 489 1120.179
iteration 490 1120.185
iteration 491 1120.159
iteration 492 1120.181
iteration 493 1120.181
iteration 494 1120.423
iteration 495 1120.438
iteration 496 1120.482
iteration 497 1120.482
iteration 498 1120.499
iteration 499 1120.566
iteration 500 1120.555
iteration 501 1120.620
iteration 502 1120.408
iteration 503 1120.381
iteration 504 1120.381
iteration 505 1120.475
iteration 506 1120.475
iteration 507 1120.481
iteration 508 1120.441
iteration 509 1120.458
iteration 510 1120.620
iteration 511 1120.637
iteration 512 1120.637
iteration 513 1120.635
iteration 514 1120.621
iteration 515 1120.621
iteration 516 1120.620
iteration 517 1120.651
iteration 518 1120.720
iteration 519 1120.688
iteration 520 1120.766
iteration 521 1120.774
